,param,seed,alpha,df,asymmetry,straightness,gaussianity,efficiency,mod_int
265,0.1,530531,0.17,3.34,0.0091,0.0059,61.0386,0.0,0
266,0.1,532533,0.16,3.18,0.0151,0.0035,83.9048,0.0,0
267,0.1,534535,0.08,3.23,0.0464,0.0049,68.9243,0.0,0
268,0.1,536537,0.15,3.17,0.0133,0.0037,72.7744,0.0,0
269,0.1,538539,0.03,3.21,0.0527,0.0024,69.2495,0.0,0
270,0.1,540541,0.19,3.25,0.0101,0.0041,68.7324,0.0,0
271,0.1,542543,0.14,3.14,0.0098,0.0018,87.96799999999999,0.0,0
272,0.1,544545,0.12,3.07,0.0165,0.0025,92.2424,0.0,0
273,0.1,546547,0.08,3.24,0.047,0.0048,61.6072,0.0,0
274,0.1,548549,0.08,3.02,0.0075,0.0031,80.6611,0.0,0
275,0.1,550551,0.11,3.09,0.0349,0.0035,69.1411,0.0,0
276,0.1,552553,0.08,3.03,0.0352,0.0071,81.9013,0.0,0
277,0.1,554555,0.1,3.06,0.0221,0.001,83.0075,0.0,0
278,0.1,556557,0.08,3.09,0.0201,0.0028,69.1478,0.0,0
279,0.1,558559,0.0,3.17,0.0118,0.0024,68.6993,0.0,0
280,0.1,560561,0.12,3.12,0.0086,0.0015,81.1292,0.0,0
281,0.1,562563,0.05,2.97,0.0681,0.0047,79.2693,0.0,0
282,0.1,564565,0.06,3.03,0.0039,0.0032,78.4671,0.0,0
283,0.1,566567,0.15,3.3,0.0013,0.0039,92.7713,0.0,0
284,0.1,568569,0.18,3.23,0.0175,0.0033,75.7352,0.0,0
285,0.1,570571,-0.01,3.25,0.0109,0.0018,70.7383,0.0,0
286,0.1,572573,0.04,3.06,0.0196,0.004,70.7946,0.0,0
287,0.1,574575,0.06,3.28,0.0301,0.0042,70.4092,0.0,0
288,0.1,576577,-0.09,3.34,0.0095,0.0029,69.7427,0.0,0
289,0.1,578579,0.04,3.01,0.0342,0.0031,71.5886,0.0,0
